well_id,well_name,field,well_type,status,spud_date,latitude,longitude,measured_depth_md,true_vertical_depth_tvd,tvdss,depth_unit,operator,production_date,oil_volume_bbl,gas_volume_mcf,water_volume_bbl,days_online,choke_size_inches,tubing_pressure_psi,casing_pressure_psi
TM-007,Tanjung Merah Well 7,Tanjung Merah,Vertical,Active,2019-06-01,-1.46549,116.20023,3030.0,3004.6,2983.2,meters,PT Muara Dua Energy,2021-11-01,0.0,0.0,0.0,0,0.5,,
SB-006,Sungai Biru Well 6,Sungai Biru,Directional,Active,2018-03-01,-1.80725,116.53048,2812.0,3012.0,2073.6,meters,PT Muara Dua Energy,2025-12-01,2557.0,1787.9,3210.8,15,0.375,438.0,378.0
SB-006,Sungai Biru Well 6,Sungai Biru,Directional,Active,2018-03-01,-1.80725,116.53048,2812.0,3012.0,2073.6,meters,PT Muara Dua Energy,2024-05-01,4703.6,2907.9,3356.9,30,0.25,368.0,879.0
TM-007,Tanjung Merah Well 7,Tanjung Merah,Vertical,Active,2019-06-01,-1.46549,116.20023,3030.0,3004.6,2983.2,meters,PT Muara Dua Energy,2020-02-01,17543.0,11551.5,3785.2,30,0.5,520.0,428.0
SB-016,Sungai Biru Well 16,Sungai Biru,Horizontal,Active,2021-05-01,-1.821,116.50588,2800.0,1825.3,1805.2,meters,PT Muara Dua Energy,2024-12-01,18024.1,17025.5,11335.0,30,0.25,539.0,379.0
SB-025,Sungai Biru Well 25,Sungai Biru,Vertical,Active,2022-02-01,-1.77986,116.43216,10718.5,10475.7,10408.5,feet,PT Muara Dua Energy,2025-06-01,2366.7,5086.9,962.0,30,0.375,678.0,689.0
BH-017,Bukit Harapan Well 17,Bukit Harapan,Vertical,active,2019-11-01,-1.3152,116.00945,3924.0,3740.6,3697.1,meters,PT Muara Dua Energy,2020-12-01,17307.4,26770.1,4955.5,25,0.375,628.0,630.0
BH-011,Bukit Harapan Well 11,Bukit Harapan,Vertical,Active,2019-12-01,-1.32131,116.00164,1663.0,1630.7,1611.5,meters,PT Muara Dua Energy,2022-04-01,13184.0,9646.1,4848.0,25,0.25,550.0,1031.0
TM-007,Tanjung Merah Well 7,Tanjung Merah,Vertical,Active,2019-06-01,-1.46549,116.20023,3030.0,3004.6,2983.2,meters,PT Muara Dua Energy,2023-09-01,3194.3,2255.9,1811.1,30,0.75,231.0,991.0
SB-012,Sungai Biru  Well 12,Sungai Biru,Horizontal,Active,01/04/2018,-1.81905,116.51647,3521.0,2017.7,1991.7,meters,PT Muara Dua Energy,2018-12-01,30168.4,53545.4,2555.5,30,0.75,553.0,684.0
SB-016,Sungai Biru Well 16,Sungai Biru,Horizontal,Active,2021-05-01,-1.821,116.50588,2800.0,1825.3,1805.2,meters,PT Muara Dua Energy,2023-09-01,0.0,0.0,0.0,0,0.5,,
TM-024,Tanjung Merah Well 24,Tanjung Merah,Directional,Shut-In,2018-03-01,-1.42122,116.18057,6551.8,5220.1,5119.8,feet,PT Muara Dua Energy,2022-06-01,3724.5,4947.6,1885.7,30,0.75,432.0,526.0
TM-018,Tanjung Merah Well 18,Tanjung Merah,Horizontal,Active,2019-01-01,-1.4955,116.20171,3737.0,2770.6,2731.3,meters,PT Muara Dua Energy,2022-09-01,12847.0,23599.6,6391.0,28,0.75,467.0,531.0
SB-006,Sungai Biru Well 6,Sungai Biru,Directional,Active,2018-03-01,-1.80725,116.53048,2812.0,3012.0,2073.6,meters,PT Muara Dua Energy,2021-01-01,10632.2,6676.6,5173.9,30,0.75,647.0,482.0
SB-006,Sungai Biru Well 6,Sungai Biru,Directional,Active,2018-03-01,-1.80725,116.53048,2812.0,3012.0,2073.6,meters,PT Muara Dua Energy,2025-11-01,2230.4,1400.1,2878.1,28,0.25,265.0,605.0
BH-011,Bukit Harapan Well 11,Bukit Harapan,Vertical,Active,2019-12-01,-1.32131,116.00164,1663.0,1630.7,1611.5,meters,PT Muara Dua Energy,2025-10-01,3098.4,1846.0,2519.0,30,0.25,770.0,1092.0
BH-001,Bukit Harapan Well 1,Bukit Harapan,Directional,Active,01/01/2018,-1.31731,116.01794,10925.2,8807.7,8665.0,feet,PT Muara Dua Energy,2022-09-01,6417.4,12086.7,3460.3,30,0.5,768.0,1187.0
TM-018,Tanjung Merah Well 18,Tanjung Merah,Horizontal,Active,2019-01-01,-1.4955,116.20171,3737.0,2770.6,2731.3,meters,PT Muara Dua Energy,2020-11-01,23580.1,45632.8,6472.6,30,0.625,450.0,948.0
SB-012,Sungai Biru  Well 12,Sungai Biru,Horizontal,Active,01/04/2018,-1.81905,116.51647,3521.0,2017.7,1991.7,meters,PT Muara Dua Energy,2022-06-01,8669.6,11717.4,3197.2,25,0.375,373.0,639.0
SB-012,Sungai Biru  Well 12,Sungai Biru,Horizontal,Active,01/04/2018,-1.81905,116.51647,3521.0,2017.7,1991.7,meters,PT Muara Dua Energy,2023-05-01,4620.5,7932.2,2918.7,30,0.625,432.0,373.0
