well_id,production_date,oil_volume_bbl,gas_volume_mcf,water_volume_bbl,days_online,choke_size_inches,tubing_pressure_psi,casing_pressure_psi,water_cut,gor
TM-007,2021-11-01,0.0,0.0,0.0,0,0.5,,,0.0,0.0
SB-006,2025-12-01,2557.0,1787.9,3210.8,15,0.375,438.0,378.0,0.5566767224938451,699.2178333985139
SB-006,2024-05-01,4703.6,2907.9,3356.9,30,0.25,368.0,879.0,0.4164629985732895,618.2285908665702
TM-007,2020-02-01,17543.0,11551.5,3785.2,30,0.5,520.0,428.0,0.17747395467034255,658.4677649204812
SB-016,2024-12-01,18024.1,17025.5,11335.0,30,0.25,539.0,379.0,0.3860813172065901,944.596401484679
SB-025,2025-06-01,2366.7,5086.9,962.0,30,0.375,678.0,689.0,0.2890017123802085,2149.3640934634727
BH-017,2020-12-01,17307.4,26770.1,4955.5,25,0.375,628.0,630.0,0.22259004891546025,1546.7430116597523
BH-011,2022-04-01,13184.0,9646.1,4848.0,25,0.25,550.0,1031.0,0.2688553682342502,731.6520024271845
TM-007,2023-09-01,3194.3,2255.9,1811.1,30,0.75,231.0,991.0,0.3618292244376074,706.2267163384779
SB-012,2018-12-01,30168.4,53545.4,2555.5,30,0.75,553.0,684.0,0.0780927701160314,1774.8836530939657
SB-016,2023-09-01,0.0,0.0,0.0,0,0.5,,,0.0,0.0
TM-024,2022-06-01,3724.5,4947.6,1885.7,30,0.75,432.0,526.0,0.33611992442337174,1328.3930728956907
TM-018,2022-09-01,12847.0,23599.6,6391.0,28,0.75,467.0,531.0,0.3322070901341096,1836.973612516541
SB-006,2021-01-01,10632.2,6676.6,5173.9,30,0.75,647.0,482.0,0.3273356488950468,627.9603468708264
SB-006,2025-11-01,2230.4,1400.1,2878.1,28,0.25,265.0,605.0,0.5633943427620632,627.7349354375897
BH-011,2025-10-01,3098.4,1846.0,2519.0,30,0.25,770.0,1092.0,0.44842809840851644,595.7913761941647
BH-001,2022-09-01,6417.4,12086.7,3460.3,30,0.5,768.0,1187.0,0.35031434443240833,1883.4263097204475
TM-018,2020-11-01,23580.1,45632.8,6472.6,30,0.625,450.0,948.0,0.2153749912653439,1935.225041454447
SB-012,2022-06-01,8669.6,11717.4,3197.2,25,0.375,373.0,639.0,0.2694239390568645,1351.5502445326197
SB-012,2023-05-01,4620.5,7932.2,2918.7,30,0.625,432.0,373.0,0.3871365662139219,1716.740612487826
SB-025,2022-08-01,0.0,0.0,0.0,0,0.25,,,0.0,0.0
TM-021,2020-11-01,26831.8,30056.7,4604.7,30,0.375,617.0,697.0,0.14647622986019435,1120.1894766657474
SB-012,2024-01-01,4591.6,7016.9,2868.6,30,0.375,683.0,1061.0,0.38452052223800964,1528.2036762784214
BH-015,2025-09-01,6997.7,5823.2,3007.2,30,0.5,394.0,790.0,0.3005727193675099,832.1591380024865
TM-018,2024-01-01,8608.3,14892.1,7507.4,25,0.5,580.0,390.0,0.46584386654008203,1729.9699127586168
BH-001,2020-06-01,17845.4,24551.2,4672.8,20,0.625,569.0,1191.0,0.2075121457310087,1375.7719076064418
TM-021,2020-08-01,26122.0,34665.3,5053.5,25,0.75,553.0,358.0,0.16209844268736667,1327.0538243626063
TM-019,2023-09-01,5921.1,3879.3,3051.8,30,0.25,271.0,312.0,0.34011300694312874,655.1654253432639
BH-015,2023-02-01,15523.8,12814.0,3295.8,30,0.75,454.0,946.0,0.1751259325384174,825.4422241976836
BH-020,2024-11-01,6275.9,6687.6,3699.0,28,0.75,451.0,758.0,0.3708307852710303,1065.6001529661085
SB-025,2025-01-01,3888.3,7111.3,1094.6,25,0.75,712.0,1025.0,0.21967127576310982,1828.8969472520123
SB-023,2024-08-01,5379.5,6393.6,3158.1,30,0.5,409.0,461.0,0.3699048913043478,1188.511943489172
BH-011,2024-08-01,5022.6,2975.9,2765.7,30,0.375,321.0,648.0,0.3551095874581102,592.501891450643
TM-018,2021-06-01,24772.7,33282.9,7426.8,30,0.25,389.0,823.0,0.2306495442475815,1343.5313873740045
SB-023,2025-03-01,3840.5,5342.6,3352.3,28,0.25,408.0,613.0,0.46606328550772996,1391.1209477932562
TM-003,2024-07-01,5816.9,2534.6,1161.3,30,0.75,655.0,926.0,0.16641827405348084,435.7303718475477
BH-001,2021-10-01,150.0,18081.7,4607.1,30,0.375,317.0,362.0,0.9684681843980576,120544.66666666667
TM-002,2024-10-01,17550.9,23981.8,5046.7,30,0.625,251.0,1197.0,0.2233290260912663,1366.4142579582813
TM-003,2024-03-01,6116.7,2996.2,1297.1,30,0.75,770.0,1008.0,0.174957511667431,489.8392924289241
BH-015,2024-09-01,9767.2,9214.5,3083.4,25,0.75,243.0,916.0,0.2399421038706364,943.4126464083872
BH-011,2025-05-01,3982.7,2413.3,3129.8,30,0.75,753.0,365.0,0.44004217926186295,605.9457152183193
SB-023,2019-10-01,38412.2,42763.1,2959.0,30,0.375,493.0,932.0,0.07152318521096802,1113.268701089758
BH-015,2023-09-01,11816.5,14162.1,3049.4,28,0.25,626.0,677.0,0.20512717023523636,1198.5020945288368
BH-015,2021-12-01,25548.9,23987.6,2682.6,30,0.75,642.0,528.0,0.09502151851655066,938.8897369358367
TM-019,2023-05-01,7605.7,4652.2,2986.6,30,0.25,413.0,643.0,0.2819595366445437,611.6728243291216
BH-017,2021-01-01,18269.0,22397.4,5496.7,30,0.5,310.0,819.0,0.2312871070492348,1225.9784334117905
TM-024,2022-04-01,3695.6,5469.2,1891.7,30,0.25,725.0,974.0,0.3385714030032395,1479.9220694880398
TM-007,2022-10-01,5413.6,3811.2,2040.4,30,0.625,787.0,843.0,0.2737322243090958,704.004728831092
SB-022,2025-01-01,9185.7,18264.7,1450.2,30,0.375,248.0,687.0,0.13634953318477983,1988.3841187933417
SB-008,2023-06-01,3799.6,6104.3,2078.2,30,0.75,246.0,368.0,0.3535676613699003,1606.5638488261923
SB-006,2024-01-01,4531.7,3231.0,3926.3,30,0.25,401.0,456.0,0.4642113974934973,712.9774698236865
BH-017,2022-09-01,6526.1,8566.5,3633.9,15,0.25,685.0,565.0,0.3576673228346457,1312.6522731800003
BH-017,2023-09-01,3351.0,4332.3,2937.9,30,0.75,413.0,734.0,0.46715641845155753,1292.8379588182631
SB-022,2024-10-01,11405.6,23081.7,1307.1,30,0.375,203.0,808.0,0.10281844140111855,2023.7164200042084
TM-024,2019-09-01,17310.8,26402.8,4702.9,28,0.75,323.0,468.0,0.21363514538673645,1525.2212491623727
SB-009,2022-12-01,48050.7,69617.3,9738.9,25,0.5,651.0,1023.0,0.16852340213464015,1448.8300898842265
SB-025,2023-05-01,9968.9,20734.9,1635.7,20,0.75,548.0,380.0,0.14095272564327938,2079.9586714682664
SB-023,2023-06-01,9456.9,9967.8,3578.5,28,0.5,206.0,715.0,0.2745216870982095,1054.0240459347144
TM-021,2022-01-01,15172.6,19993.1,4627.9,28,0.375,682.0,636.0,0.23372642104997346,1317.71087354837
SB-013,2024-07-01,20973.8,34619.1,7224.2,30,0.625,679.0,965.0,0.2561954748563728,1650.5878763028159
BH-001,2022-07-01,6823.6,10567.7,3208.1,30,0.375,657.0,856.0,0.3197962459004954,1548.6986341520603
SB-025,2024-07-01,4603.4,8353.0,1533.4,30,0.625,703.0,437.0,0.24986963889975236,1814.5283920580441
SB-023,2020-05-01,29413.2,37950.8,3941.2,25,0.5,319.0,1165.0,0.11816132204446789,1290.2642351053269
BH-010,2025-12-01,1453.1,2133.4,1416.5,30,0.25,336.0,1036.0,0.4936228045720658,1468.1714954235772
SB-016,2022-03-01,49134.3,51696.1,11303.5,30,0.75,353.0,740.0,0.1870269930407791,1052.1387299707128
BH-010,2025-01-01,2295.3,4061.6,1987.1,28,0.5,224.0,545.0,0.46401550532411734,1769.5290375985708
TM-019,2025-06-01,2585.6,1563.8,1727.8,30,0.25,389.0,405.0,0.4005656790466917,604.8112623762377
TM-021,2023-06-01,6785.6,10197.8,3768.2,30,0.75,447.0,332.0,0.3570467509333131,1502.8589955199245
BH-011,2022-12-01,10411.6,5826.0,3982.1,25,0.5,621.0,801.0,0.2766557591168358,559.5681739598141
SB-012,2019-04-01,30355.0,51174.6,3936.0,28,0.75,230.0,508.0,0.11478230439473915,1685.8705320375557
SB-016,2025-03-01,15167.3,18707.6,9736.1,30,0.375,229.0,617.0,0.39095464876281955,1233.4166265584515
TM-024,2021-02-01,9153.1,11914.7,3258.2,30,0.25,376.0,939.0,0.2625188336435345,1301.711988288121
BH-017,2022-01-01,9767.6,14769.4,4425.5,30,0.625,361.0,670.0,0.31180644115802747,1512.080756787747
TM-003,2023-06-01,9039.9,6108.8,1787.2,30,0.5,308.0,811.0,0.16506728486852434,675.7596876071639
SB-016,2023-12-01,25281.1,27222.6,11122.9,30,0.75,685.0,626.0,0.3055405999340732,1076.7965001522878
TM-007,2024-02-01,2448.7,1869.5,1492.8,30,0.25,496.0,664.0,0.3787390587339845,763.4663290725691
TM-002,2025-02-01,12875.2,21466.3,6055.2,30,0.375,215.0,441.0,0.3198664581836622,1667.259537715919
BH-014,2025-06-01,2810.3,2887.0,1450.4,30,0.375,584.0,583.0,0.3404135470697303,1027.292459879728
BH-015,2024-12-01,10211.3,8416.7,3678.4,30,0.375,652.0,419.0,0.26482933396689634,824.2535230577889
TM-002,2023-11-01,22445.4,31640.9,6860.9,28,0.375,693.0,400.0,0.23411007189580393,1409.6830530977393
SB-012,2024-08-01,2778.7,4561.9,2747.4,30,0.625,397.0,1034.0,0.4971679846546389,1641.7389426710333
SB-006,2024-11-01,3403.9,2099.4,4210.5,30,0.25,724.0,401.0,0.552965433914688,616.7631246511354
BH-020,2023-05-01,,18276.6,6713.9,28,0.25,241.0,1196.0,0.0,0.0
SB-025,2025-08-01,2484.3,4918.5,1002.2,20,0.75,644.0,935.0,0.28745159902481,1979.833353459727
SB-025,2023-08-01,8532.3,17652.5,1606.0,30,0.75,264.0,1039.0,0.15840920075357803,2068.9028749575145
BH-011,2025-06-01,3966.5,2168.5,3251.2,25,0.625,725.0,1048.0,0.4504482037214071,546.7036430102105
BH-014,2021-11-01,32904.8,41459.6,5346.8,30,0.625,343.0,502.0,0.13977977391795374,1259.9863849651113
